WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,UNKNOWN INTERSECTION TYPE,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 10:43,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1900,S,PULASKI RD,1012,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,5,1,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/30/2025 22:10,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,9300,S,ASHLAND AVE,2221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,1,,,,,
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",10/13/2023 11:00,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,1038,W,BRYN MAWR AVE,2022,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,14,3,10,,,,,
CLEAR,DAYLIGHT,HEAD ON,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/22/2025 8:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1115,S,CICERO AVE,1131,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,7,4,1,,,,,
CLEAR,DAYLIGHT,TURNING,OTHER,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 16:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2403,S,BLUE ISLAND AVE,1034,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,3,1,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/29/2025 21:40,UNABLE TO DETERMINE,NOT APPLICABLE,7142,S,CONSTANCE AVE,324,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,4,1,,,,,
CLEAR,DAYLIGHT,REAR END,CENTER TURN LANE,,STRAIGHT ON GRADE,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/30/2025 10:55,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,1201,S,COLUMBUS DR,132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,5,1,,,,,
CLEAR,DUSK,PARKED MOTOR VEHICLE,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",02/25/2025 17:49,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,618,W,OHARE ST,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,3,2,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/29/2025 7:50,UNABLE TO DETERMINE,NOT APPLICABLE,855,W,FOSTER AVE,2024,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,1,,,,,
CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 11:30,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,6801,W,BELMONT AVE,2511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,5,1,,,,,
UNKNOWN,UNKNOWN,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",09/12/2023 17:00,UNABLE TO DETERMINE,NOT APPLICABLE,2359,N,NAGLE AVE,2512,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,16,3,9,,,,,
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/29/2025 8:15,EQUIPMENT - VEHICLE CONDITION,NOT APPLICABLE,2600,N,ASHLAND AVE,1931,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,4,1,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 11:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1022,W,CATALPA AVE,2023,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,5,1,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/30/2025 17:16,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,6958,N,CLARK ST,2424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,5,1,,,,,
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/30/2025 13:42,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,5900,S,WESTERN AVE,824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,1,,,,,
UNKNOWN,UNKNOWN,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/29/2025 9:20,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,3751,N,WOLCOTT AVE,1922,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,2,1,,,,,
UNKNOWN,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/29/2025 8:29,UNABLE TO DETERMINE,NOT APPLICABLE,3801,N,SHEFFIELD AVE,1923,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,8,3,1,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/29/2025 11:05,FAILING TO REDUCE SPEED TO AVOID CRASH,IMPROPER LANE USAGE,1431,S,LAKE SHORE DR NB,132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,4,1,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 15:13,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2006,E,95TH ST,413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,5,1,,,,,
CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/24/2025 8:35,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,758,N,CICERO AVE,1531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,6,1,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",01/30/2025 13:50,UNABLE TO DETERMINE,NOT APPLICABLE,3726,N,RACINE AVE,1923,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,3,1,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",01/30/2025 13:34,UNABLE TO DETERMINE,NOT APPLICABLE,3715,W,18TH ST,1014,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,4,1,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/30/2025 19:15,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,7400,W,FOSTER AVE,1613,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,5,1,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/30/2025 20:31,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,5000,S,MICHIGAN AVE,224,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,5,1,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",12/14/2024 19:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,700,S,SACRAMENTO BLVD,1134,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,7,12,,,,,
UNKNOWN,UNKNOWN,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 8:30,UNABLE TO DETERMINE,NOT APPLICABLE,3944,N,BROADWAY,1923,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,1,,,,,
CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",01/29/2025 12:30,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,1801,W,DEVON AVE,2433,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,4,1,,,,,
CLEAR,DAYLIGHT,PEDESTRIAN,ONE-WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,01/30/2025 14:30,FAILING TO REDUCE SPEED TO AVOID CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1556,E,56TH ST,235,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,14,5,1,,,,,
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/30/2025 12:52,UNABLE TO DETERMINE,NOT APPLICABLE,8465,W,LELAND AVE,1614,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,5,1,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ALLEY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",02/11/2025 17:50,UNABLE TO DETERMINE,NOT APPLICABLE,3812,W,CORNELIA AVE,1732,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,2,2,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",OTHER OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/30/2025 18:29,WEATHER,UNABLE TO DETERMINE,9201,S,WESTERN AVE,2221,,,,,,,1,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,18,5,1,,,,,
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,,"OVER $1,500",01/29/2025 11:43,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,226,N,CENTRAL AVE,1512,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,4,1,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/30/2025 21:15,UNABLE TO DETERMINE,NOT APPLICABLE,630,W,123RD ST,523,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,5,1,,,,,
UNKNOWN,UNKNOWN,SIDESWIPE OPPOSITE DIRECTION,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/30/2025 13:50,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5501,S,CICERO AVE,813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,1,1,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",02/10/2025 10:55,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,333,N,CENTRAL AVE,1523,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,2,2,,,,,
UNKNOWN,UNKNOWN,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",02/10/2025 14:58,DISTRACTION - FROM INSIDE VEHICLE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,4318,S,WENTWORTH AVE,925,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,12,2,2,,,,,
UNKNOWN,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 17:00,IMPROPER TURNING/NO SIGNAL,IMPROPER TURNING/NO SIGNAL,3636,W,ARMITAGE AVE,2525,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,1,,,,,
CLEAR,DAYLIGHT,REAR END,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/30/2025 7:50,FOLLOWING TOO CLOSELY,NOT APPLICABLE,150,W,47TH ST,215,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,6,5,1,,,,,
RAIN,DARKNESS,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/30/2025 19:02,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1612,W,DIVISION ST,1424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,5,1,,,,,
CLEAR,DARKNESS,PEDESTRIAN,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,01/30/2025 15:50,UNABLE TO DETERMINE,NOT APPLICABLE,14,S,OAKLEY BLVD,1223,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,1,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/23/2025 15:00,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,8700,S,INDIANA AVE,632,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,0,0,14,5,1,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/29/2025 10:46,IMPROPER OVERTAKING/PASSING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3713,N,ASHLAND AVE,1922,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,4,1,,,,,
CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",01/29/2025 10:12,FAILING TO YIELD RIGHT-OF-WAY,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",100,S,STATE ST,112,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,8,4,1,,,,,
CLEAR,DAYLIGHT,REAR TO SIDE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,N,"OVER $1,500",01/30/2025 15:35,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5441,N,EAST RIVER RD,1614,,N,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,5,1,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",01/30/2025 13:04,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2418,N,LOTUS AVE,2515,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,5,1,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/30/2025 8:40,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,6101,S,MELVINA AVE,812,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,5,1,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,01/30/2025 9:45,IMPROPER LANE USAGE,UNABLE TO DETERMINE,1928,W,PRATT BLVD,2424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,5,1,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",01/29/2025 12:40,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,1826,W,45TH ST,924,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,12,4,1,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,WORN SURFACE,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,N,"OVER $1,500",01/30/2025 0:22,NOT APPLICABLE,FAILING TO REDUCE SPEED TO AVOID CRASH,4756,S,ASHLAND AVE,931,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,5,1,,,,,
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/30/2025 9:25,UNABLE TO DETERMINE,NOT APPLICABLE,127,E,OHIO ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,5,1,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/30/2025 19:50,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1350,W,CERMAK RD,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,1,,,,,
CLOUDY/OVERCAST,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/30/2025 15:53,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,6505,N,CLARK ST,2432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,5,1,,,,,
RAIN,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,01/30/2025 22:54,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,631,S,AUSTIN BLVD,1513,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,5,1,,,,,
CLEAR,DAYLIGHT,TURNING,"FIVE POINT, OR MORE",,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",02/10/2025 11:18,UNABLE TO DETERMINE,NOT APPLICABLE,8700,S,SOUTH CHICAGO AVE,423,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,11,2,2,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",02/10/2025 2:00,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),NOT APPLICABLE,101,W,WASHINGTON ST,122,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,2,2,2,,,,,
CLEAR,DAYLIGHT,REAR TO FRONT,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",02/10/2025 9:50,DISTRACTION - FROM INSIDE VEHICLE,DISTRACTION - FROM INSIDE VEHICLE,6900,S,DR MARTIN LUTHER KING JR DR,322,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,2,,,,,
CLEAR,DAYLIGHT,REAR END,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/16/2025 11:37,IMPROPER LANE USAGE,NOT APPLICABLE,550,W,VAN BUREN ST,121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,5,1,,,,,
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",08/28/2025 7:49,UNABLE TO DETERMINE,UNABLE TO DETERMINE,33,N,HOMAN BLVD,1123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,7,5,8,,,,,
CLOUDY/OVERCAST,DAYLIGHT,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",01/16/2025 13:07,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,302,E,MONROE DR,114,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,1,,,,,
UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",01/16/2025 19:20,UNABLE TO DETERMINE,NOT APPLICABLE,1225,S,INDEPENDENCE BLVD,1011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,5,1,,,,,
